Marketing Spend,Administration,R&D Spend,Sales,Operations,Profit
1474051.5582593558,7021318.47127136,276572382.9876481,9122470.005326554,252503.02091785753,2771918.5604363945
1100614.921915759,6698527.200808321,329149265.55466944,8145016.683367398,1212782.8459601603,3039648.0538245593
4438745.698666549,6980209.683907813,331662765.13011986,7324284.095971299,1602363.6325888385,3193003.145780568
1874040.115305835,7697479.870149153,438569089.1833834,8012539.720287346,278277.915212604,4329837.871876605
2357170.349053014,7250965.7312653,80552960.22837827,8658094.9324477,855987.5300099045,3776280.8941872907
3793184.7682800316,7389567.692729318,192711258.66126084,7854383.879424377,363161.8403232625,4556156.125524608
189773.47369511912,6967413.756493067,59011955.39059206,7415028.930648097,941378.169257486,4037641.392132933
511574.6138137021,6744366.900246085,159062101.8980765,8562003.350941358,437603.7075337551,1791622.413059051
3353696.805403225,7142031.189833702,149670871.23729378,8248498.029672846,1198320.67318248,4764967.275285915
201217.74632801718,7374731.115711342,205307695.94135344,8283312.731188407,477132.7426563117,4532619.137265796
3349903.0936144223,7134812.806896595,267842555.31033725,10293706.675918842,638857.9521595252,2578592.272501044
2621368.360482392,7585831.18151231,243818815.5834673,8187289.874274394,1864925.325624408,5848909.931795674
1964671.1513694155,7538178.378579343,427510613.36898446,7763863.794677543,1709503.976004567,4983575.78673134
3521786.8265993884,7381692.606724152,177254541.48501378,8250953.118146624,1420803.71330768,3727099.321268378
2923779.6473051603,6945355.444700749,200404577.8926779,9089516.622276148,2540002.4203557055,3010607.214981404
1499327.9441250307,6865106.268673505,599516779.8654081,10006061.816061916,180325.09483669838,4454762.696885163
1544349.036544668,7987333.432741226,519144922.63667464,9280063.861154376,1556538.715433623,7596375.756502525
1882754.5736339844,7404199.352332137,525246030.6086124,8377504.750497691,290850.0139456629,5398908.752732948
983032.7808365916,7680996.01293052,207301279.02486488,9029892.390929088,484948.1324797552,5191344.5137620615
2967336.2369018565,7603340.11705061,214830930.65010333,9094938.07800101,268848.5771363261,4055602.769515521
3295704.0201071105,7650121.917514215,297022883.95148945,6421172.951205927,559919.4070327713,3411426.838127889
1875257.2311043497,7365165.6772030825,446931198.04909647,6590660.106143007,999252.2462574001,3167012.8498809272
6726665.522991118,7242016.33363729,137372257.94719848,6672322.713745864,222720.9030880006,4514423.488085045
2066794.1821809213,8517545.383413214,421554907.0615444,10104860.684018569,2337028.4535968173,3260636.544704087
1996128.2285114455,6915909.939612469,255670445.8375358,9352090.610655528,40897.82913282467,1898762.1552129616
3407344.943136267,7611327.516441289,504110221.29143876,10005205.493713086,112554.13612068794,6024100.26414874
3255684.53934869,7549901.294304859,357698482.14584124,8266437.702459872,258648.946917034,6198946.105926456
3607835.3561283424,7004554.203659136,560839044.8064868,7899101.871356808,390085.25248583336,2023755.4335968846
4718476.058231663,7250339.440544751,573663789.5998132,8862149.81898323,1646555.129616111,2605084.555527986
2662051.564017223,6928904.929208964,256800493.83609244,9265423.208692316,475189.8095270081,3730238.0935478695
1262911.9706154128,7579458.539188404,3137500.1898667403,9516425.603006229,2278391.774695374,4975963.277258171
4536271.548163171,7453891.138877299,561885539.3229108,9516883.938141517,1879236.3829913158,4821686.945776853
1732914.087971821,7542560.89400808,529140080.25557756,8276946.075289062,487249.43545581214,4523329.4285676675
1838288.7993406185,7331340.921373004,344246388.8473969,8926862.311382921,986450.342449902,5336613.333268738
2620767.2653807993,7816639.689282367,208799115.5937674,10296462.482040506,48292.336417371174,4578580.330196607
1528243.8361245277,7212917.386381635,232897630.3731503,9838733.464748923,487973.91602258885,2097445.3795757964
3736060.1922837556,7063869.875241266,360513328.4287842,8174728.010414408,670039.7023364764,3896695.7960005626
2872549.5037883306,7932648.832006872,67558538.9989374,9875193.115547022,223003.60116605298,4945942.9278220385
2719568.63753672,6932559.941920491,422401146.8352044,7802664.159058713,2151894.481918847,5685013.814076467
3566260.1551248673,7030025.100858237,475990896.86316997,8064223.656441804,454356.1472367493,3652541.627159108
1717444.8504332488,7614619.396886515,292077105.5097197,10262372.276303107,1916017.8987615006,3434982.802293292
1982912.8421878773,7543568.790411235,159896884.71592763,7966938.416255341,320821.15336144087,2470867.83940906
3828408.2583142123,6982765.554496523,337290534.879562,8993988.163698228,759563.0711844906,6759896.801315717
3714670.864950575,7300233.444096288,742257731.85145,9371040.495511204,811047.7761014958,5431685.530135465
2645862.091647217,7554839.587012725,138961689.64470464,8121638.446653491,3766885.334236863,5078459.671196331
1756750.2477420582,6714694.091145667,6283527.20607555,8065986.977611563,2401303.411439961,2803380.701367328
1433480.1585131763,7824002.2678994285,149798615.99195588,7816816.059501942,1378297.280696238,2049719.649385637
1079192.615994047,7566760.554408502,291405600.4941111,8001817.404139828,482709.44683301775,4799584.010008482
2061395.5649206366,7550220.172254635,543275474.1971017,8709303.751208764,442635.3297784168,4660037.126040774
1979875.7987826776,6990856.825795045,276125455.13241106,10706402.144240392,1066560.7539626625,3577018.5622762823
4282015.24317578,6908429.612780325,452409287.9658425,9784446.882054128,971424.1166794292,1539866.0313946512
3587047.2555199233,7273930.530691935,246720910.70353127,8069098.064612121,1116310.927723902,4378306.591919587
1135050.3585218133,7679168.355943952,319153651.381741,10029407.515890807,887371.5369917974,4156392.345036892
2565052.2312735673,6944978.16549167,34459313.30127922,8754105.684743661,3142974.1771296253,4464870.048511862
2079951.8998108832,7470448.990628318,76365410.09145454,8417299.556690613,369260.7757092132,4562834.103480281
3286533.126316958,7685708.908144458,148784882.53076875,8433751.334460681,369861.13990235,3946989.4100202788
1431712.946954219,7861450.739262542,409187064.2232301,9234620.737429129,1168985.449900317,3783646.1263540816
1996416.5869594463,7867505.552835586,306372301.3908317,7440682.117316512,1918180.0655714646,4645180.733866311
3347580.0592525136,7581814.844281597,474133068.0279682,8600837.19903818,97219.49075826164,4123234.587220679
2830514.9265495306,7026293.1540303705,503828126.50029176,8351162.960808415,218248.24715612165,3969537.727138051
5214931.290459847,7051693.092505858,152134005.08204228,7602147.728315899,494555.44137730775,3198539.2725550137
1857594.070003616,7723192.154371243,275571063.9914211,8788646.653790066,250496.90092312987,4952703.280193137
5583725.606213543,6915273.306686266,286731235.21344787,9141221.777740173,1920461.1106679207,3886559.8297281
371528.15548300464,7315378.969794698,225491533.6384899,7619162.288889211,759957.749460802,2042363.446494039
3655587.4057744904,6594813.954227995,35391414.961502366,7666164.725253746,838061.5177431682,4271950.967362451
403283.2532528456,7342595.532399825,477788901.1141339,10536951.17250532,127878.43844392058,5284901.166393846
3768265.930853997,7332389.024877465,143463331.309695,7339817.279109716,1189396.131136283,4804832.065818915
