Marketing Spend,Administration,R&D Spend,Sales,Operations,Profit
215714.2474567963,1167343.9286756977,758458.3641287362,1093137.3392320396,1062622.7496980762,632904.801645199
191847.73267658844,1240199.7702574572,1197819.9050957607,1098202.7132021273,787890.2511634915,780979.3124902388
81516.78455340155,1194557.5709839156,807689.9368410463,1078582.1334424245,802260.9582228377,554972.99024989
193145.1632905347,1204912.8724807808,644957.6609994101,1176082.3950637076,854889.0110228218,698277.0245332106
260050.5351060716,1117582.0076802839,731878.5779780103,1157644.8147211457,1099548.252650193,659572.5338689841
115457.51706733649,1227613.572932344,495134.9728131492,1061013.935844762,1026959.6594731375,546539.9623615062
152605.14793653286,1213983.1511993126,670138.2512940913,1184666.0153649156,1112252.4548884495,619996.718010115
244454.67585715078,1205969.405005413,611724.0299585495,1181089.122622622,1113200.7555221575,757115.4117616732
94721.60897211649,1231087.5160984234,860352.0301155219,1027145.0502476876,965200.9248504784,610256.4534477124
122226.9501844974,1191877.9078003387,323651.3790217806,1058225.0458071227,1072050.4950642479,576310.5456217547
246215.3808916036,1317049.6608328447,745432.0909755118,1169237.0564568564,685526.511917766,980109.4880514655
163615.98293364779,1129569.0314658172,508907.74424306396,1075241.3489812228,1496870.8139166706,401662.9840253937
114502.52749506006,1232148.6590959616,803160.9404436494,1094040.2221231593,699140.5277010876,688126.0761135204
208750.63422936143,1232543.1166068553,660252.032618402,1132752.763910241,851423.6796770687,751163.3255454586
184355.92061358746,1094564.9768635784,650549.3283565197,1077678.5659156675,1175884.0187801027,472973.55338543764
168476.57469376846,1069760.348474032,418045.54697073513,993453.2844248321,1407853.5875599196,362963.12491479726
131144.2007090748,1189868.3902162993,1044317.3498786292,986781.6294867708,1097783.7646185306,492523.50828498136
45588.55784494431,970889.5248540409,329459.86036263034,897057.6897745759,1911288.0713849468,240335.19898565224
139724.58171332738,1139879.3962943682,653634.5119913372,1055503.399215554,1134458.4315995157,586824.775720728
159677.69700619832,1204950.6054022184,446141.70599030575,1108027.056783887,992353.755933318,750272.5919051
122525.0897053323,1238172.5061572688,776819.4169375864,1175015.8515146603,892707.2178518863,633185.235306936
98867.12453234187,1159504.870878986,617688.7765870881,1033889.7052574715,1163982.5515288431,542948.3056825314
148150.1091791382,1191055.1215471565,950369.9419263856,1166368.2313249186,908057.810880352,700984.207030782
163940.33735142366,1221759.4512500882,307144.1592873758,1087653.2040941243,1056820.8682802198,738842.8012404087
109373.4791451038,1202855.2655696236,684527.6686611909,1026373.6717260275,964003.5525195738,507247.6596833401
155769.4123830194,1225367.264464445,496984.63225788914,1039309.6935950187,1213336.9424349049,516627.86506958667
138138.7019484885,1217557.689624671,629600.0223406639,1083435.9684056037,1147983.669378734,751692.2739913714
304492.1142882885,1300658.300748801,1173167.996785325,1132516.3487850006,735983.2512767009,1005463.5781194253
192944.45851216052,1160734.3784946534,1034709.5402939139,1098811.723771437,931819.1876937567,619053.1988281878
137290.55831865087,1153905.5272073713,363301.6030448391,1156365.4242758835,942089.8905574613,651669.1855324521
199582.19164481273,1215203.8682818476,529244.82449089,1119862.541531727,1084736.344531061,529407.392340881
163228.81621639864,1212457.0227592709,559866.5016927194,1154050.996033467,1075865.4075091616,677149.7987203118
151134.65015402497,1192877.3679566998,174631.9745283401,1011796.5974862262,1107361.7397937346,546421.3295751151
176875.76136819652,1150290.1878479254,649469.8330723051,1099580.345906132,1264061.8318325887,455178.3739248499
95986.38938831547,1210285.2764093997,752226.4257099838,904902.784468296,1454388.2283805786,434459.6187733367
115822.24210288815,1222702.2524458184,971161.3822031876,1088668.5288721707,1125455.185980451,600924.9644185998
145056.02413818534,1264963.7106367976,597989.5648245141,1103846.7165019054,824374.3986025708,689342.7527859098
152591.83344808227,1203659.448808005,167477.25161983224,1048877.9584562697,1058942.5640622778,530887.0986697169
177035.28401152755,1268073.6036145557,798668.7230729095,1277215.0436117938,706685.3019247035,1030183.2454292353
87707.57839145654,1203897.7448498826,1276282.7189659318,1203436.313372951,884567.0803742018,649981.3700252817
123012.20405685673,1209272.3327940605,344490.8509599357,1165058.7632660796,976564.1364984626,592032.2628734703
143009.0301457636,1213216.9403884974,877744.4633213502,1117755.952812607,1033341.9076832271,591715.4590476264
122448.42053145313,1158380.7880276244,216211.9803471014,963662.9500413488,797906.854314226,540775.9826221754
37306.48555930092,1148161.9575695894,530132.8075022053,1065623.15685065,1283766.6116835214,472787.18607460865
89306.34123654835,1214513.3631345415,162769.27361234868,1092137.2081093502,1151259.39447544,499987.96059380623
162944.63108004193,1160702.3045284948,1314420.4659494443,1028111.1833300362,973148.7249883737,689705.8939077631
200912.24286165414,1263061.4373503027,908010.2260248583,1038165.5357279789,838326.6039235631,706942.994504641
156509.09693955828,1181525.992845586,639679.6792332332,1044648.5133096317,937315.3020628056,521021.7323227164
98036.40373241095,1249254.2603728098,169309.383807834,1132244.656223282,1016551.147060439,519036.68803591246
230780.05835673527,1228324.9525822208,484194.9766824385,1091391.2224367505,1032892.0886169755,796394.1339919196
152499.51853960345,1119001.963450295,1089067.6195663374,1074103.009671902,1032126.0420017737,517323.6778857467
109616.54400665066,1187947.1033369019,799965.2575806278,1010206.3203149346,974138.009386699,653728.8458948974
158233.33705467306,1221210.237298299,721223.8921771538,1125621.52223222,914242.9519380091,696147.6068441835
110685.94772859436,1181157.4089333755,257611.69135519135,1054468.4947270406,1154066.9540789216,410526.5387002045
234157.2841030573,1269828.4146721344,46460.86075814317,1094541.501843431,772923.722682535,664793.2745537809
163950.96941224474,1173150.3104179061,750092.0770210857,1128839.8610530095,955467.0039069586,737677.1646719838
185110.36747323928,1203614.6510082148,612664.1898472089,1029734.5452142685,967357.6970214305,624581.8057811009
155664.4218308774,1150984.6530793644,510710.9646741076,1118387.0406022673,1123195.7562786932,541329.2863590309
144066.40680936197,1233817.0999395896,733148.7142365858,1049427.1869440223,1084415.1096518706,574687.8529336987
151573.09349188645,1159724.3889162424,278876.4639434734,1133827.6916374927,1052601.1697501556,499366.7172153385
146939.06787306897,1240648.666675901,439732.8056763933,1139941.4897137815,756032.0675126286,798787.874657011
181121.4972464338,1214380.482772434,416528.1523174512,1092272.244665864,1009295.4530344589,657162.6068843774
139504.5063464917,1217165.644069691,597362.2737584062,1160681.1753885355,779497.5271805751,703817.1861740444
173999.86487363535,1212352.1709545143,1078846.0402815763,1137951.5551609676,1129689.5062185964,627613.2390184707
214950.35715009252,1208480.4663405614,420852.60097682895,1159712.6245591317,696826.3986556466,776225.8563229905
83024.75011817602,1158819.1041545295,672717.2005129686,970940.067570096,1396549.5777997265,435206.1886873617
202516.28126100835,1278544.7655749207,671736.3594559244,1116209.1759853396,777521.2379803954,762149.0726776626
92207.91617782437,1159735.243982059,284156.68080509943,1058100.1961039985,968388.8074913304,467883.86770087713
146317.83326645975,1199821.899833628,912881.0134155826,1060124.163259686,1042838.9477385256,590437.3673317664
200722.47904048488,1190969.130606459,676718.7901923272,949055.2425124156,1259581.052516546,537828.3741968832
177881.3176104879,1244073.0271266247,589340.0864200955,1201919.6034844813,968843.1224462658,715082.2098244659
127556.08094981476,1148663.3978570616,218310.95548544516,955813.002267828,1152770.7811475697,461556.64828805166
203271.15474312735,1203026.4910040435,767673.9468103618,1047703.3343836989,1077068.8190670214,581300.0587331844
80713.25207831518,1190762.2769115595,851799.0821528486,1135191.4727357342,1025726.6242793961,519267.993940132
132905.50319682213,1224564.410595524,294810.4719739473,1067120.6229223278,1100872.0430508954,586219.1847460427
218955.69431194925,1264484.016508494,482096.59211780207,1121282.0134505485,827588.144247583,716545.7620520582
180576.71806267442,1298888.178643513,656516.1436096851,1108129.7759224067,877893.8469097217,825585.7024011189
