Marketing Spend,Administration,R&D Spend,Sales,Operations,Profit
900939.8430133204,1374463.4148447711,1331549.0028204727,1330753.994537794,465447.31285218336,999342.3172190585
469974.58145057975,1389660.5083272997,1504542.08866195,1262738.5592438795,626211.3165782169,896269.2824523695
631324.2562177565,1446473.7664452093,1650393.59587767,1339293.706437294,712515.4354629118,1532487.151373045
443795.0745343031,1316466.2841582932,823404.4159344271,1108600.0277412832,940282.803249896,528662.5084848241
776043.2488811212,1516863.9639428116,1710081.2646985948,1283943.8018853997,427034.1868344764,1444650.4999292525
585288.2803110989,1354973.304212126,759318.5036665436,1231370.666852336,706176.956549451,1021086.7423184917
206848.52365158277,1402093.9557698737,1067007.9407147523,1267369.868030896,762747.6755114995,940824.2114951819
404759.2389851991,1284703.4539623712,1423192.8124365383,1136659.8543413728,1035308.7582317335,677174.8670444438
235034.09469048685,1297178.0883714012,740813.6368097877,1150017.295203717,1033008.1457051763,702442.0652356733
154338.2480388148,1340036.0126872752,958270.9730594668,1141445.6529489097,1102437.3735692701,599006.6248830208
280326.84625194763,1348027.882624411,1537212.5851777652,1235903.8108661552,925840.0315825661,942353.9885970388
624443.3568522977,1414489.3847766242,1838036.2153154747,1257420.1253563906,701173.977579546,1162703.9691095296
264293.7995183056,1372727.5626783445,852044.2483773717,1243332.6033137087,898758.9020681506,820572.937195173
670127.2508765806,1412890.6201551538,1459260.8644004704,1240012.0353844229,556491.630835154,1197127.6272775487
468593.8716179447,1380922.203544886,830027.3088143067,1231007.9712215,795434.9224403666,966134.5932040506
574770.0265996086,1379258.6516393838,1036440.9354522147,1126709.0594176338,824340.3031360446,939059.4985543048
519628.4895909062,1356398.666744582,1281960.0922410318,1372239.359481325,835170.6907957604,896028.7655584521
430197.36871314043,1356784.0745453644,534176.0443191612,1234504.7200326123,868930.8933049436,883956.6955067441
493108.1538118159,1465867.8803606457,1702421.032836585,1353054.9209750402,488747.5509377986,1338650.481012488
291807.5870108573,1375458.6261539701,1362533.7305838529,1216290.3632676327,879472.9821630395,882651.7001950662
549013.1779999267,1425605.561894991,1496578.9275555566,1373332.6305647134,637548.1933480339,1076821.7291670379
142386.1951020773,1425725.4231866118,666208.6008846937,1324659.0711095096,801049.3294495498,960063.1538100778
553166.0314964735,1367551.0449852794,1339697.9610311696,1304289.562184225,794231.5488687542,772079.2418037087
424526.43776897166,1321351.549083017,857655.663232698,1146595.6771568828,1077342.1014912971,652880.3032740959
230561.15270685288,1346581.2804456002,1249655.561574656,1389509.5590713867,818610.733139529,912897.557837202
228486.50745095708,1399773.4950940832,1422135.77814676,1259101.8100748237,651144.7836499648,1092205.4870371483
119300.68811059473,1295850.7734815176,1168793.9581607247,1191697.154396993,705580.4759370419,789944.8948959054
522767.98146488436,1458341.6096531702,1331668.9682864354,1312640.2993828866,580203.1525931072,1273246.5141681184
422129.52260295785,1378802.2703409782,800847.8245102969,1285121.7545348082,809873.7121147134,917935.2730450688
709986.6790219824,1390004.0912307939,1634410.2459066284,1330174.3661973695,785430.0987601001,1092021.8578765397
217747.27042369833,1271727.2514625457,873400.2874040859,1273628.500674815,1121430.9540958619,527101.8148021088
341877.77079666965,1301687.042731184,607488.3291988627,1169758.6623884211,920949.9587989348,631211.5378811602
76548.11009499061,1395241.7185407495,882514.6041418563,1257043.9440809581,870859.9159194201,903165.4150326042
558432.6387319277,1319081.6054166898,1826252.4984641527,1361689.0100736103,816599.1484204319,1013516.3200477996
427978.85354515794,1358931.9967049076,807379.2971421191,1282651.4873822145,721245.5435896161,1028829.8617776858
308325.8097618245,1323956.7251059175,937113.3742424911,1277275.4842151687,904946.357896406,995827.284817714
289332.4294171103,1363259.297025138,950706.7789922651,1230302.6673366753,816155.5923114147,714924.605172128
463702.79988294543,1357350.163778278,1565749.2235692511,1321653.296979385,895612.5642343762,954454.6062662193
368287.23215815413,1360147.8970361315,1420244.9251753343,1294112.5929303034,848196.4464393954,918539.0622576722
370507.65233807475,1365547.1793499582,1184350.1831405708,1268634.109451884,941617.9755987221,840553.0910897162
308359.713654531,1363381.0648231353,1609468.1885088289,1349364.6924218973,492130.5509909459,934126.2638970519
635840.6822849144,1326888.7292070768,1413771.4963242258,1338060.8516228911,764888.4898086675,962421.1792211004
616916.5386932252,1373300.065190777,715239.3715193938,1427392.1860888943,583391.4102929644,1272470.7697203676
347260.9827288064,1376992.9308211282,1019344.3751429005,1213748.7428749665,828525.9480257378,764227.6982379409
744050.5785369595,1401507.885663412,1570566.964889823,1337880.136854133,743873.8557750805,1156156.4522230169
477040.5649610862,1401277.7157704285,2292811.1578721153,1282155.7885094434,582703.9235821238,1139745.2185827931
332338.0543009579,1276640.765995767,2007082.7327429797,1275553.9082297864,1107102.8442515938,555067.2184304553
736270.1515052231,1433396.4812636331,2464201.5306835286,1473354.1099048657,568186.9280672409,1563720.4731628438
698752.7511466864,1315696.50229037,902084.4627968695,1313463.1554353235,758747.0983093567,840859.1643004633
348583.0978820799,1386454.4982600422,771696.7293043562,1232117.858419656,826282.8549883331,955290.9602009604
274264.01097814273,1230193.762875226,509099.22375179356,1097410.8096185785,1067819.010087729,542336.5130445374
260490.53903673304,1304770.3178352732,1270693.5919042611,1301209.1356795134,827665.6855872279,802256.9384533239
468993.9558154869,1367696.5694970232,1824653.4333296963,1285530.9541029981,900901.663993542,908916.5848856895
508948.518177254,1335190.9493788877,1528525.9937887872,1319361.826888509,673623.7969694126,936013.7933248268
356679.86350106157,1406958.995119704,1017568.9974638512,1245018.9657197334,771382.6589730533,1100327.508605326
732433.2812714668,1388470.637697365,1915122.4822674626,1293502.6492462975,684228.1660431252,1193885.172335866
224142.4996616629,1398829.95076798,773725.1933355608,1402599.1190866078,885444.4776485829,1011252.0215786302
177528.40150543538,1366013.0502081225,1071139.8449650086,1190727.6665702942,914111.0111947602,677711.0523799354
544818.505055751,1416119.5068004073,2549073.078452539,1284155.8725440097,738310.3982096276,1198103.2317880983
514584.281244457,1401000.6253994252,1379056.018012039,1340206.4524643566,775243.5756510438,1140717.1973725015
681128.8377094264,1376606.9107608176,1418085.7049103728,1270019.3739206463,767812.5226971996,1292744.1575140888
732111.4249157519,1437070.5043262527,2322143.9600195363,1458879.1563682558,623131.0960989997,1565148.983933697
508599.943305711,1330227.5574051733,1322060.0895535126,1280625.668167989,832643.6096466236,776501.0541146912
463774.4444624496,1335478.0745008,781315.2256113943,1206877.309609834,828606.7047196976,1003964.7119102546
382917.3842081408,1414438.9747827975,997105.4334148336,1260478.2271906617,772156.6229404269,866744.8366842524
530407.0399184623,1421239.8057514336,1605908.5731680507,1388041.3627038985,517196.1171611736,1250506.1370274192
236323.20294730423,1357751.750140888,810050.0861200632,1206577.1280644285,869730.3779621979,678691.6360214807
332103.17676230887,1347649.4074605503,1855939.834857015,1254987.558549287,589236.52380917,1009364.0291665499
425058.5481546351,1403493.9803122417,1779087.9952329397,1361239.0636522153,562610.3878527663,1320242.461235229
326090.53104155866,1364465.3479812639,731123.6733074547,1164297.6223179395,1048970.4828893482,741315.332032203
600156.0958477146,1491967.7720576967,1849559.3418482377,1337500.0128901906,779040.2434031507,1319606.6863704438
641820.9790674536,1346656.9905026157,1059292.3476075581,1278333.2394439764,631590.4271164162,882731.6536443715
401698.47126033326,1397508.8154695043,2423332.229679954,1319895.5761144024,734805.1023607447,1067215.6376197897
484119.9088638963,1474226.561316358,3165071.6896634167,1253769.7452496062,653882.1028116683,1392279.7655235326
713045.1444943284,1433813.7255956684,2268259.6838181326,1458475.1279636354,647574.257716166,1405174.8570391894
471156.48836654465,1427239.127002796,2036994.9179842337,1344637.1918028975,652619.573822449,1256374.9659435493
493169.6159275427,1406991.808660495,1972793.1542755153,1407647.883339771,650422.9392540763,1261573.0587652826
424408.8445289219,1386413.3055683149,1782529.3248909996,1306190.2200050326,720312.1893213468,1242217.7429740129
364405.95406232774,1328567.3683602465,1079547.4268706313,1280908.1740495767,862221.276951728,714529.4942725453
483581.89772073715,1392912.6399669389,655747.1158739879,1242716.8897863268,722011.8352167965,891306.3392507675
539345.6039365024,1386882.0091001375,1388352.9194829478,1354910.4097867347,781201.4771810486,874225.5812258205
330163.88950775185,1360201.0814031109,1220630.5915747383,1316035.8818133425,632354.917455184,806685.2002836221
423017.1789238209,1387793.8170374124,993858.9806190967,1339048.5267226798,622548.1569648033,1072845.440230691
429980.4172335265,1322710.2643423723,390407.51988647133,1271973.680187842,764709.5107755241,775176.5716398607
253584.87414767419,1282819.284925735,1348515.1783016913,1203843.9794702604,886500.7640341137,672566.5622881097
402695.52969899913,1359271.554475464,748193.8653574368,1303675.3488534482,961685.6094060772,969069.5561578958
186053.83418109565,1379662.3461744594,1676943.2997092693,1241675.3370330837,1025870.9561834828,696191.2820107457
350024.8059729855,1362713.1703765024,1325856.2538605083,1292579.8932556615,846778.459378325,1019402.0154297128
