Marketing Spend,Administration,R&D Spend,Sales,Operations,Profit
4959.448837136442,533814.1567896948,57239.45815953617,478318.3788830759,1573889.7558797244,297195.344799664
137425.1411085527,675768.659241211,173580.92332277357,602104.9194419397,999430.125769576,624589.2558509198
181722.38717692162,624848.5247039836,112696.24799329563,549200.9816497043,1197171.3416242518,468834.3299918608
288298.27842614776,725598.1631877096,459593.7511317999,675256.4385049186,810743.0410727707,886783.9759941415
79042.00995092926,602911.8895608175,149874.22136161182,530343.386238793,1269364.7260338608,418068.7520860671
182151.11741332186,712742.0766323748,271652.93897892896,644047.3852982931,855463.8240401249,786473.171009073
119908.5690587042,605959.3704105278,54574.66309874851,543696.9304839897,1245758.9068741924,424687.9107784133
230690.3086302612,670602.4295977871,230003.41331694217,603347.5745017704,977898.835560447,625513.4218400135
107049.25354794657,678950.808976626,183327.0976108285,601374.5240427682,964600.1959817674,650640.920611061
155236.36533560694,671115.8244928371,179938.97477441037,592740.8523261944,1012869.1370103703,598129.3914005494
213375.24417477776,733518.6602897036,401358.69511561864,667321.6521124535,816373.1291076507,893061.3351936563
127706.51087727863,681022.6871526679,172055.93522686817,606304.7756286408,961872.1428352895,650963.410050421
134514.68388798076,661320.4777723007,131811.13117921434,600414.8197881187,1010384.8441217103,593679.349715231
196833.68916056183,668271.8163620973,93720.77209270162,590157.8377010124,1015744.4830939345,597701.8898691161
210994.1002587776,687866.7081482809,199777.7973085264,628638.7348689869,906226.3784877264,693140.5325463071
268969.0316308137,715283.0124989562,280428.26512235886,641379.3947388215,876008.5410997807,763859.8619467835
160532.15114875,685851.6036077306,223530.6372354903,632597.1962435301,948223.0466611733,678338.5165111823
163975.8079569079,721547.1582926601,387168.173674705,661236.8692163448,834820.5312089738,830581.1742577646
141888.15503485774,620284.6616424118,165026.47081419695,563559.5388658531,1159384.193093047,487134.38014116394
212304.4046722792,712560.1434367034,273955.31210183434,657307.8573365083,850767.6033056579,814910.5271191387
280501.4827224789,729950.7070306701,370090.3537370995,672055.4166546678,798841.6443480994,913360.4292226718
226818.5784285748,677254.1269074574,209099.43955324427,608477.9600299568,954063.101711977,656984.7417081008
226264.90092565538,677012.9454867376,242188.65827657277,611000.3348348129,973071.2418770654,649392.5483891903
141195.12685242228,701937.418733936,246738.30863553155,631759.1586082557,901451.9282369014,728162.1577122972
180922.66234421165,670173.5921597084,207241.15173320042,587632.5037250436,1028774.9083781203,600006.5178826912
135223.73873565832,661305.0245495499,150348.69192119705,578379.8444081901,1048412.152762136,571569.2379878678
192629.97203498735,676255.1894124754,188190.00059575454,606426.9120203368,987690.8288613684,633287.1115047624
217955.51123900787,638099.5380190294,107550.56802846162,566880.4696214631,1111067.9742826768,522218.0736104625
64132.210272304605,598203.4126051286,94670.15946577056,529891.2120140553,1296438.1851471502,399519.8212874115
78558.83719025548,574716.521122676,90692.51121740317,506825.5831861639,1428089.8297925377,347359.45760225423
214061.14852787153,711835.5469296888,332836.5501582545,649190.4354068462,869698.9898867656,783472.0443783891
116486.01209636885,661429.8427147118,143181.95570274495,598203.238233209,1024347.2986380598,589799.3108117603
158609.7607776792,706574.9873886814,318336.93321404804,628207.7408850887,897921.7248618279,755865.2005119347
101291.36897142496,671497.0368158254,220892.18588609982,603856.1687116239,982303.8444757941,619613.7353205467
220350.3628270519,689321.3485558636,195057.14205774627,621442.1254257909,917587.6283377248,710494.7043982695
190378.69507627198,692662.7930972233,228290.75854823051,617450.4049609087,913188.7851781902,699640.1919963076
156247.65037904982,743820.3980022541,501368.8393277775,697304.9820570737,768195.9147784022,991032.4271085917
143718.45459858683,623004.4350888126,116147.22183864602,545422.2911528079,1159145.657757705,476298.9099840736
