Marketing Spend,Administration,R&D Spend,Sales,Operations,Profit
69661.92616889848,1170199.8533471955,820801.2277584998,1081587.543942065,1123347.3145868173,529606.3069753728
90099.05808432799,1066093.784760239,657850.5304664671,1015347.0694154298,1165908.796303741,376356.58146559505
157422.56644212807,1158718.7588555636,755159.9307796746,1075185.52729596,1034329.422642634,512702.372117029
65050.37791628626,1162441.7035528792,774010.7454052235,1117297.3945473018,943516.4070829982,611575.8504957395
97441.2353391524,1210721.683623128,213525.22318662045,1058984.6946683289,1214512.8632414364,598204.4514133575
75411.21999385647,1161074.3439845233,485012.5737310782,1124812.5564131176,1153901.950915947,489159.571116853
152654.56418034446,1164994.0523475832,823627.2344697465,967027.6465361107,1239438.7944735717,497112.3267691559
102493.38859926835,1105836.0591312563,383121.0295983624,1006114.036930379,1386522.695702897,374887.36921530945
46461.41413507231,1084785.354609062,783195.2959396758,1020316.1745189084,1405120.2105365149,360389.43723275966
198998.16893510058,1273665.8802697118,821554.5499388025,1152221.6460146233,878012.0133567684,650602.7670311218
204969.26013539272,1264127.5988539713,879916.9401086919,1183549.7908019922,890015.9569632702,793480.1230847928
90581.20130562005,1167788.9255423748,757925.3699683426,1131844.7054994868,1243739.7406104784,509562.34760656
168796.87545237027,1209142.770401581,702230.844655333,1144157.8419497977,708753.8642013841,783262.9263038873
144966.0668294568,1227950.4914544646,1122757.7071565674,1032787.7860170782,1037571.0450200586,598739.3493251047
176073.46839347688,1225531.8388105752,673587.2473188265,1100065.7840152849,824427.726560379,802240.8368538579
155398.53020194446,1209725.263725407,384706.57478854334,1108415.8187379716,876353.3495669559,563864.7920081825
191867.8591582202,1258477.953010428,942640.1179061854,1104331.6361826581,933286.2934709947,612163.2886663881
161078.45681148893,1220583.2837528936,396786.76504006505,1136919.5256361947,946119.3124554344,629895.699341458
143394.46169461843,1127419.3949426194,331898.56728742144,1112440.0917729186,968982.2884594754,582830.1342192146
82226.71926111955,1171699.6865064157,470475.29458183766,1095095.194929938,1381319.406077453,477922.87992249825
72413.27579553047,1064090.2851149878,720164.1845646501,1021449.6970342735,1402759.4603549507,327607.7574943259
250082.39725594115,1295608.401783303,645328.897076775,1200363.7790588082,832911.3063151562,971901.2867174293
186085.8699875134,1247893.0177383076,1493723.4093638258,1178595.2288934265,955932.2193095211,986497.810777127
107280.08734818752,1135276.5642778329,942875.3342101977,1078954.8482887805,1609961.885237764,328166.14491360047
178736.9621981159,1088500.3459863318,1113409.7961098126,1091728.9670839577,1020793.5260205392,541947.787026044
194761.758842968,1281485.162238065,1008226.4817546259,1140900.4473377648,740077.6446566316,735355.9799770762
112030.65280492933,1217564.2073083397,771189.923854885,1179610.085127584,945568.6630058881,736910.5401671426
229770.41654301272,1274211.0748947156,921158.916736085,1114522.0964423846,854737.3826149941,887022.8043677529
99723.2368479868,1152802.175329351,419556.1862612445,988776.1155059712,1024589.1524135852,537132.5132040435
138419.21839452107,1203632.6892743763,256674.71611238283,991305.823996607,879164.5704010956,509396.6607305674
71969.4020738415,1177291.3940897773,140084.17327021563,964312.5364985786,1527567.121160611,352175.4109650004
211959.8136554798,1219960.1086163372,1157435.661030551,1121909.1971048028,1048677.043293146,566604.1282002688
119873.80802172424,1206342.9790212237,1094370.7282855262,1121790.9997256529,1010432.2200010195,617279.918217161
73885.84800185978,1184072.794057778,1027846.711283188,1102819.92434383,1008747.908288156,525666.2458492614
76817.54372402027,1179618.6488125958,560726.5261004607,1080728.1493287296,1228693.945081351,457188.15372684004
154716.306477546,1212809.8848434885,888657.9681837936,1177903.5890185018,781985.5968834157,742668.7644215748
180054.4674467875,1228989.9418638116,704117.6423444401,1099974.2888100343,920918.5330988185,651308.9781538835
201233.56822536953,1214777.1359283277,600729.6669379583,1135662.1105991486,1068240.436314201,768922.1470829227
279131.7901300314,1262403.768865403,1056699.986536845,1200751.92642627,758838.2872058544,782800.7562130596
207579.80299574108,1263828.4612863217,512197.2377667971,1101428.846588884,796802.6254386434,648917.8664350223
81827.3602949918,1091951.1303125005,945878.0571139639,1078742.2778872817,1428972.4863633816,382474.8282084877
179695.0631981745,1191157.1206352068,913367.8498380528,1173231.9081780477,889714.6573378064,744284.985251395
149198.25978455832,1252484.2194684362,346554.8583760009,1136623.0975709637,961141.9028888734,603707.0681689908
128791.68922439223,1246402.4714784897,637977.667131353,1155481.5946412496,810341.2735921144,738184.4299426347
67705.87297069303,1105486.4544233554,396812.36791812844,999814.7678078264,1557126.6322351247,349518.1559158505
138574.87069984208,1203745.1695134155,468154.31182300067,1091334.0702517447,961877.0684436329,524724.7085656801
157925.28083513072,1237057.6348492266,654561.9445787753,1139342.8529284503,794897.2896277292,728009.8632758319
171776.305378575,1212296.5679190655,988896.5651869926,1153962.8030819502,1058993.8364808275,785140.1511454592
51213.01085915457,1042684.4562126276,672030.6176551735,938805.33027955,1450279.4914649972,313478.60868811136
63840.64966824107,1181347.6316782543,579235.0893691449,1092943.617700946,1141242.4643059953,521877.9072652854
133445.9213714409,1176572.9658113557,492150.0719979738,1118451.8322646662,1028952.0458881597,511872.53122495406
208456.55804969132,1211664.8271937638,410259.1289416057,1112624.2838041405,923336.0810145286,707417.1994557646
179832.52474348413,1170054.0680900856,751838.2061927087,1188872.0190226608,993876.6361876596,647410.1154159729
178385.13700655912,1222839.3344522496,1014404.5999438108,1067574.2851288249,1100693.9620560943,471564.1287261341
203754.69074944645,1287321.0715597852,293856.65085502906,1125639.2027100106,659087.801186727,711596.2890697028
164019.47614958856,1181203.7127912962,533475.3461793463,1001116.8395054679,1054561.571093815,548881.503012141
149440.55690821764,1243431.4534620875,951669.9015526003,1020831.5853930062,861073.5043289331,688383.0965128747
252236.32805093814,1297554.8412683134,1199163.4373518513,1099512.019919118,746868.6166121461,740124.275047636
144902.51154513645,1218559.940422876,846088.4559234062,1096323.7009873348,1001469.2190026217,701135.6865395524
152264.89570118865,1250016.7089449703,308621.7089739523,1138775.8242766568,809430.516736797,756622.7571284107
121037.40842963394,1227403.3066597485,637632.4279638217,1049077.3564355494,1281292.0165968258,442662.21034874895
142882.29617206566,1264129.9308960845,515271.13135331415,1083335.139921776,1049362.1498603462,594734.536331332
164416.11634639767,1190644.2520250054,403855.45900270616,1059709.020203834,964866.4345360246,678695.3818915931
