Marketing Spend,Administration,R&DSpend,Profit
123907.67050849705,587913.5676789817,186781.9344384835,291212.3700936847
160213.49878255965,654719.1922156576,204904.0735632371,382211.8707786794
131155.65156660523,639374.8851456733,242573.44999732173,360047.5670860242
186425.0251797181,677931.7879115765,255165.45628556452,438650.60041224305
202378.69066486385,707694.215307272,266886.6814246662,539006.275296814
204667.5462421811,676007.2881437101,269106.2114767606,416421.75740189507
93760.99698996758,634590.3642960222,298331.06509350945,368800.6898723431
119433.69445028334,666538.5812480424,252338.4470078814,384981.03647515894
199368.1138984005,688495.2498196277,231410.5228072923,519831.1152011943
132411.8396530765,683443.6129602422,263557.62245043553,430512.2209994369
212334.64521190873,680243.7938903974,258329.7915094011,466587.34965573857
29878.65401353998,528761.9882952305,244925.99878558874,225702.02604860847
214632.67087253102,711277.4188870924,292862.09246484155,478569.42348430975
111531.32974003511,597089.7802340736,125994.02553721417,272976.0759192371
123473.64796997436,607300.8206094485,193702.72558100367,346155.4825809186
74355.12495545318,476085.6447092875,85566.90124189793,187937.71398680416
112006.21873657651,600608.2745078158,276518.50705675647,310951.4014510482
212595.57805987558,693568.6871745137,311657.8122786033,496057.61313631304
190783.19221112432,675394.9768906024,197327.12974673597,414243.9363142558
104124.9905097263,581117.2774191108,178222.65284941642,276420.5872816036
89220.92625985005,590426.5515928196,260940.69288549764,261815.49612565333
155776.55621537098,669718.2375193734,334188.2530909232,418512.211070362
127651.60793917856,668308.6782728557,159286.2925029316,411423.8609363554
225950.606669479,705121.3867233491,344872.79148115,561764.9451285601
133684.9694484606,632673.2026057066,166979.31325518276,363980.80555235426
220369.01094816925,729132.2472685983,331899.4997155616,617089.5821868381
143321.61959822447,645229.3580999696,205196.03137380962,399186.2799007982
155206.01116882206,670746.4229616926,224924.63872459077,412269.43717364204
250239.37147591205,710471.773527918,195188.4075242589,553212.6111652467
195142.08872949434,701718.020885405,295241.16762225307,511170.1937588842
142682.5292573489,635900.1835837308,187476.97927857138,350024.2240040286
190685.86757797218,692116.0552344267,271884.6681508932,501030.9389506429
134876.98440594022,644267.3124406773,166042.19987639188,356759.08065807266
161217.03143556503,650133.6942879928,216715.18058184636,389993.3348525328
198583.64727663092,675168.8393511524,250902.8911155483,499709.87546407594
94921.28805836028,618622.8340623328,189262.7976848,328341.90576356335
224580.609447254,717894.5451240565,371685.4586232883,526661.3413704365
204383.32031277506,703718.4314618928,326540.3141133425,538221.7666333709
109163.16829058217,592732.4338890917,248300.7497165665,291392.46477717475
125060.3674770637,647451.5533857987,168106.61575927376,334473.2100075024
146729.13970239033,656777.6192602761,250677.28317154243,387521.488088852
203100.97309941467,656796.7027697633,154175.44660585205,424006.9385028007
171672.4216310737,667797.9824240394,272409.0658519211,432349.09656117205
139605.06788571115,650378.381509125,196449.2864662839,363892.96291012596
131094.33624805592,636357.0470118783,201069.1119507065,369707.6240118323
164903.40072808432,701155.8575416342,281466.0370599357,486558.4465409885
205115.80776707828,653774.0045373657,268323.46940229426,457244.546001029
264710.7833454026,719256.6329876287,358925.30915227626,549617.4573563727
239109.51527849172,715815.708310099,329591.5604590193,558236.1484792456
91543.04265949078,609906.2758562746,280014.7398367961,364395.52197701856
215276.34593965593,729835.9813007495,331634.51808944205,557021.6661781983
148503.94329332162,682170.8057275859,233583.03232110053,398104.349171895
164223.78845107747,687753.7703428852,234255.3555318889,474704.56553404196
197294.13577609565,643996.9362838394,166551.70693918478,373113.12294955325
251208.5329653305,710170.8113357036,348263.565925151,543034.3553888743
178262.36101481513,638585.9915353162,257608.84600027505,382708.9395923429
108035.6852881897,619069.5887510718,284039.0269053276,333839.6408915019
167062.54867461193,690806.0487010903,224651.48703966546,492009.1986559336
144681.27315528528,621358.9352349039,229646.16917924606,358710.26492893265
62701.86861440507,536665.6725282398,103758.84295429997,231175.8737448597
107805.14610339815,611401.3796691955,244778.42885411263,331717.068391744
137370.3811750764,619419.7658948384,182015.8544164282,309091.27032722527
175349.44346487656,669826.7617799082,210985.0783134047,451459.54327887297
154919.20140159625,666727.855632387,183893.39476230674,440889.278133384
145180.68542502337,627874.1160920756,165188.1281912117,359310.63428907865
162173.01161925402,670077.4488764113,240506.8960505657,425764.01195126
120339.99556657104,613651.9357157461,244971.00600718166,340582.822834559
276878.673238826,745177.1057645716,457665.8608520399,665945.9342754292
162327.0566235639,670329.615583734,204845.89913717803,452693.77075029345
131457.51825767793,608250.9090193768,164800.6839796895,315855.2263359815
168115.58164121496,686961.4106611477,186952.0166392673,447759.5390481497
224595.4952672053,697267.7109025257,370199.09535352595,512690.2317580691
99002.02670403689,593331.4523025827,163895.5180669382,290962.9785522063
46557.94012622784,583481.9060113631,146196.89286150812,282469.2321221829
152901.8974688201,658537.6162259578,240681.500428388,377590.01102401427
124018.76666150504,641514.0864389723,195679.32738698722,368911.7280781663
142853.53411543116,606313.6634644291,235811.37052141607,355453.0553515484
81313.83517353536,616246.8757544002,347283.53797289403,323607.38011327985
219717.79840134754,696893.4486730951,257133.6103109306,521435.9430431591
246128.62786788968,712891.6871313804,313263.42817184655,545941.6336478663
154964.46989668696,678872.1202337128,197820.20437522826,423570.96973179793
225638.86003936126,718988.5215138369,314575.60089627944,554369.223074049
249044.7133307343,700281.3146492665,362567.3300192,611126.7476461151
185929.35923748958,661949.9742208357,181394.13685466698,410945.9836940242
157357.05853860232,651375.5023762253,271874.56373199594,402849.17191288044
127669.36744343056,614018.1041209057,210588.6052874662,338025.7021434658
130920.87106250363,664821.1438012471,211352.65048521268,411130.873210359
253995.20175574196,722303.2159593042,458349.8379563745,593660.2710686622
151701.98775537615,596001.51782339,219614.67861436366,291094.29248554626
161013.7324830123,667201.002758733,281498.01892595453,416233.8819208513
200013.74616566632,679800.3261376298,314918.1520532392,453715.29949378123
75674.70239130454,623192.0102707017,352400.3160590058,325285.2473526831
112296.84300609074,598494.5338372602,213832.74335177877,336401.17816396174
241456.3918368676,713321.2441914523,328812.79010324227,529224.8410736537
182137.89772719418,676915.7488565365,302977.3227985281,452165.2615523774
149113.76884233535,656905.4988493441,272406.27753729135,418277.55758748925
229239.0043346133,705754.8038982367,177087.42931596033,506541.46502140036
154138.093250231,631176.6718261363,84832.61722045673,339489.07989564975
77993.1721873068,566492.791301026,202211.19406426052,260555.46945519434
204572.34707849598,713304.811615158,321361.67644188163,496856.11589487665
273359.9510439952,706800.258904096,393029.7678347565,614875.9833072475
204943.31965191616,677003.3822616683,270858.02317486575,466307.6988566958
136482.62238756567,608715.3971082458,200158.75058364228,315265.69018575916
242239.55607986718,735286.0012111461,447594.5910784465,597518.6692399225
163911.27576542943,644203.8821562419,250876.74761169194,333564.205857905
166346.8647013776,684576.0179476282,248324.29544947512,422057.1865856609
161158.3292954985,627713.2648102397,186639.47994225757,350240.28395705693
97897.74394227116,607502.0478705271,195529.56575857534,319529.74504437554
200957.05511123576,715550.7678433973,312272.4913178236,523585.86314664833
48053.565968796844,275118.3336853664,48397.44446335351,112183.78965190929
57781.88205704375,567180.2099774638,122072.39122952866,258127.53496819895
153003.73792443523,632839.2096064888,99150.54629691374,357234.92341699585
245988.35040561797,683748.012197142,237472.68260576582,521130.9691297031
249357.90825778103,707907.5442022822,233938.0349786635,479334.99246065435
179119.41187541926,682869.2925353386,187405.54260667312,450059.6085644385
157210.2695926688,675820.3912778387,229651.33650615872,424599.3127767502
168250.13523033698,679149.8606556918,198216.26364531872,450921.201787887
183818.87928904648,655466.0412351419,289069.2948083694,401559.00474284444
248213.47164274968,709619.5408475948,274606.8474965804,564555.4115003755
178744.00537840326,677677.3212049955,224406.00609489786,453104.28871867515
160655.9014195004,681072.1589494307,158934.66764064739,461714.84955736937
111901.12168275983,616862.8172470668,176068.01705825448,309510.08714599785
185619.70691976757,686026.5122646389,317755.58993165835,486756.42471719487
240611.45575563246,711757.8526075205,349398.17610924284,574555.9996208211
177920.6688453267,625741.1528485317,190411.32603645168,363344.661287648
148356.19361799757,668373.2355222057,151866.97048400267,424653.93180508784
142931.63447772758,651963.9386957616,215597.9683417385,392483.44001981546
245592.2136072323,722659.6905936662,344429.7424651592,533171.0884365218
166242.17319012887,660690.1916957671,224466.8529698363,407529.346619504
129442.77457812038,635821.0775190912,199666.63123584585,353414.3052270038
143612.88903823507,637388.3954151176,164542.66570160567,357926.523293399
172875.27367606814,666980.4867085265,79710.19425261315,447004.1257379879
120263.99766062031,599725.8262711172,182045.11866496853,300829.86292869307
251869.08422126222,749266.7709374642,385080.60766368115,612269.7110602774
145672.53747396875,683249.1639491557,143005.8609709528,441398.6467044422
162861.29519730722,610132.8652866926,228230.32278281593,315177.3604307235
224345.42995452086,711336.9339086981,414824.2768348777,546100.651375572
278894.483436311,736849.6999806401,424654.5960932502,642879.7377748892
163478.5971975971,706993.2595883417,297662.65072435595,560292.3257777352
228923.85493636472,722150.6932584567,261871.82704026837,576652.8112501216
180223.8277120691,673738.9136287435,256977.05589213432,434015.2029723954
171096.55811814126,642822.6410825166,224013.98684624524,388708.3268173683
81369.80910456559,577129.5757568196,161848.32481127363,276742.06423768366
214336.90213416578,685257.3661444939,223052.98023097945,507543.8146729571
139605.5872252134,635043.6059526916,231703.24919069489,368356.37904688343
190209.3802054369,712851.9530830348,275352.6458336675,493827.095599839
227350.42767892143,701293.0130382999,345791.48207507096,526928.8619170118
113864.30761236907,624056.8024727853,183092.7660137537,347314.1195394076
118982.06598112945,534104.4988505822,90037.7257220505,224139.45845271004
281254.7109662991,721849.6284944045,304602.3776709669,610801.4115699399
99839.74689096332,633433.8652847093,177931.88785375454,361652.54447668337
159002.8099884431,627391.1962220905,108766.04914962788,353564.0635876246
170911.38946181914,668910.3692542717,228375.84200975712,444634.8717428074
328308.3047370312,765656.367939177,499755.71768989484,712175.3416795752
193475.72138718906,704546.3666447537,285892.41998015327,497839.9454540084
216026.19353464304,701798.4521002573,287498.04379536945,517484.9437383412
212739.07082305336,684252.549897005,329615.837735542,517050.393932377
144254.72795799238,674266.8999140656,318696.3457312472,405508.676979073
184595.29802816024,692207.0103320621,253665.10786854196,441231.65908781346
118720.07522623037,617638.7239690174,198909.0903709566,318102.9301508346
