Marketing Spend,Administration,R&D Spend,Sales,Operations,Profit
147889.32820284367,974635.1315688425,353040.3818943931,850186.1502308772,1127673.2450483972,582811.5208279528
135299.1481357066,1043604.3341532073,413376.4622489957,872537.8125009245,1067295.9347614017,674685.0120805694
116208.52151764891,1006949.635877867,301564.44480135886,744229.0859832925,1260886.276951552,523648.6569224687
211218.0951136979,965275.6546332019,319727.46239520976,880202.4536726327,937782.8595542605,612573.8485745763
89388.87691994442,910368.4957083599,311095.7408479486,819495.191833776,1210158.2699645325,426944.5264505936
193277.07334518177,1076384.1546849422,484325.1634498172,859588.7041469458,929855.918725058,762250.6904855121
94315.22022546927,1036416.6205529433,591083.7849892741,847253.1578517219,1039345.1433142872,656999.9598079382
129423.81696062049,1014777.6041322746,65798.15087094727,775244.2699571814,1170191.6249960468,522936.5805407197
226246.89488907275,1069026.4928862636,440149.61765668646,880044.0875339584,841364.6891638328,843012.102679309
205538.67380710586,1001394.8143366815,510971.1110931186,830594.8228971086,913405.9297093055,649308.4845949671
226184.63860072894,1030632.8712868987,381480.1092572028,886335.9905828508,865366.8938289395,857539.0593478815
245639.56730429034,1070764.4717401238,564133.6017982876,886478.5669305831,933013.1750608338,835985.1527699409
77438.13610128345,961261.2459787886,332580.1557569194,827881.1178357238,1075562.8157706014,512189.6004411177
203545.82101810223,1000202.6408366248,266375.91055641335,788406.8566630855,1045389.7846511275,441083.78953815973
128738.43255413248,913730.1889524385,248718.86834478844,746381.1892930217,1317510.9720283062,338429.3705864303
152650.88827869637,1032268.9162445641,388859.6161228318,858128.1003773536,940462.9003885749,704059.3423533055
121877.32817271617,977556.999903769,231058.77377318733,874043.858805103,931482.8233404034,638763.4663728706
48460.320193620544,935441.7208524985,295496.73675861873,777732.987615335,1321191.6346000135,383238.39583433897
144947.43154555588,999113.0476740801,334603.3362755042,857847.6429812768,985479.4626072685,683066.7416605985
129973.52797139634,1011109.4400125055,63398.033389964956,860426.6751684276,1129026.750244586,542139.341016104
102366.44298513269,1015555.0174635035,291285.41116142506,859140.5184707472,942750.8908797057,652581.853674707
166587.96669390923,989937.4698664135,192658.854007338,851853.4293301706,1144731.5400140204,531261.1100787122
102356.42307717167,963323.8043499528,120039.28518018976,810462.6787255562,1024391.0235930713,468054.9722732452
17355.875851458695,899072.6732036239,116395.60255250536,751421.4251449807,1453017.988620969,388630.9538352804
97152.01356632002,930967.4203051949,364660.2342920821,822845.6438151947,1174947.094596506,469291.55637044716
172683.7845212513,1031892.2279271111,481000.63612846145,860094.0766620537,870494.8006793525,646224.9012188374
197686.9769693463,965975.9502036797,476905.2979572249,818762.4658877798,905092.4867300094,542018.7018219132
143400.42032433487,939146.1034806797,365208.73061334755,803279.8719967126,1310382.9171836472,418530.72888411663
131874.3779812279,967300.0944126202,287388.8703437544,801136.0486452787,1006847.4777655127,467396.9606532343
202117.00393563753,1031884.9825713591,393045.0133881117,869214.5437179992,1111772.4432416512,580866.3841623829
163554.97020345205,1022987.6624040989,205970.53270953108,834746.7126737013,944742.3646714069,615735.2500649022
172502.1538406133,901065.6648123348,302753.6559758167,724963.0110167228,1506205.4823538326,344906.41592076706
181451.88696737005,997748.6667753595,690548.4993098942,861028.6776845801,1008341.7341108761,608482.0062926644
172670.8525954625,1017664.0575838245,449284.31025449524,835106.7861920341,960281.1074783109,612897.0035211783
164775.86164431847,949453.2525540232,377456.00035045797,794197.2598721357,1314231.634259223,377952.64799634484
207269.99030615418,1047079.1597784227,488808.1661209373,875448.839391097,812428.7649012097,686198.8123073676
178786.97899489984,1060632.7847517862,473338.6906446887,887995.6774431833,984548.2909570279,742038.4519895398
118090.35434996831,929679.14967258,351474.38756778045,776306.1582160222,1361930.1637791193,446074.13038634276
89540.87511863612,970885.5862182193,222828.17929316405,827865.9226530318,1007266.1562736125,560854.9427076182
51175.66197835701,999402.5480556237,390347.33686042717,788696.152496275,1224927.6419259175,478897.42443740484
27426.465750798023,993462.447619647,256388.34148030292,852847.523175024,975803.7261600592,632706.862943448
159168.86701398034,980928.4800885114,317947.06911623577,889716.6289769232,816954.315196435,807269.1937288097
150024.8337855282,962064.4385271932,252193.1997581995,784514.4945304887,989357.5835702617,518789.37701816077
198462.53543977777,966250.3905911862,300859.3907251593,864078.4952173615,1024870.4187110773,593353.1975294801
223646.04847443633,1092954.3744098397,617711.3939016954,900827.656141116,793251.8827550524,884963.178131522
65306.43392780204,977756.680015641,180353.79093928647,807086.7273996909,1143000.390496503,489670.22569398617
145931.99702137825,998724.5120495374,156918.82328750854,841955.0979196894,989266.810840851,582273.783831434
155535.50530164535,1050494.9941931344,497467.7169283081,906628.6103438949,816200.1913281658,706512.8809297924
194217.54070948408,1058596.3806167808,430511.708936321,885634.2853135087,852197.3156580997,714506.8986341562
103436.1380534561,993577.935249126,370874.0568905371,839064.6917417967,1064384.6760202744,561033.5048519269
120722.91158511967,997729.3765583106,374606.80338972574,826177.1677632416,945112.6067478902,567537.992450033
166643.68355446498,1052297.499200285,316788.8416309385,867228.8026031458,971164.4909048865,673073.1267397008
152797.10333057726,1022234.2623245455,435433.9514414009,863333.0328830499,924804.702972563,686361.9150251482
109460.62181454977,1052528.5512894173,548413.747957824,829665.3946939381,714889.3914286988,758041.2821840409
241502.78064536225,1113475.9628000131,352908.67615183716,919531.9321372405,828106.8909841832,869574.8253411663
204063.94338976545,1047058.4990920951,257713.237579938,833620.1476657244,860196.4628217623,621138.385455561
273005.6210879077,1055871.9747215235,557880.2124999897,908962.8062623108,876572.3320537684,862044.7325316375
170986.19182523165,1011449.4757457923,497322.9679214268,880848.4620642704,861183.8602636638,671536.1045978623
176313.2790858769,1030144.4181864707,276673.7536171413,862046.6229359158,1077311.0339573068,588453.12135771
221740.21057848106,1076360.4821780876,637888.6944425709,918125.5308529835,708741.8216372067,920036.5334181751
90040.55029323802,992795.7245891427,334016.4311063258,806058.8487627557,1175125.0222337414,577621.2249485147
158633.2814192032,994051.0875759977,561759.9629508958,837816.2763509502,1018155.0725573463,609933.3253202587
94173.91085284456,910754.6405036538,430332.6952884772,751002.4115591964,1281376.3431548814,368324.1667895029
91549.20599816597,935645.0917342606,309420.9345157129,758396.0840488994,1489043.5753690954,322719.8817004812
204249.15851884277,1084416.441979894,599881.7934746703,915167.1569877171,603277.8517138684,883260.3442423851
144697.43681044728,948917.7718627383,418021.6650213222,770315.5930083513,1224888.835818428,442938.3917101139
69722.7110667314,940158.0437112616,310674.524181111,829929.5963703285,1223650.0288261636,406895.830007108
147730.52946147142,1038474.063468897,118274.28808622448,901744.5675331632,987886.5729453355,629271.246106183
160097.3282798479,932516.520731803,339056.81950530247,875838.8435021908,1267877.0056924284,457807.39798093226
167607.05072090012,989774.380253815,198477.15774108708,861221.4555027906,1047583.5904646629,524269.4191506873
